Gene,EntrezID,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_I,17_I,18_I,19_I,20_I,21_I,22_I,23_M,24_M,25_M,26_M,27_M,28_M,29_M,30_M,31_S,32_S,33_S,34_S,35_S,36_S,37_S
CER1,9350,5.614152,5.594146,5.59982,5.104737,5.662623,5.684911,5.513074,6.187251,5.933339,5.786347,6.554486,5.329735,5.278682,5.513455,5.528929,5.855723,5.958445,5.745766,5.87365,5.572211,5.547507,5.206928,5.505241,5.733076,5.885418,5.365261,6.419527,5.974848,5.874449,6.370858,5.375553
CERK,64781,7.756099,8.24998,7.901864,7.668111,7.547428,7.631213,8.105024,7.501282,7.775849,7.731582,6.895965,8.133317,7.805112,7.719175,7.743397,7.536523,7.2966,8.029485,7.881665,7.881209,7.984972,7.917548,7.387523,7.47578,7.665175,8.275821,7.290076,7.905289,7.818204,7.658798,8.121341
CERS1,10715,9.642544,10.68602,11.39342,9.157903,9.736476,9.390164,9.836859,9.387383,9.622789,10.12922,9.98145,9.784349,9.346579,10.05952,10.31106,8.818387,10.40593,10.26428,10.64938,9.626149,9.605423,10.39345,9.986034,9.819037,11.38992,9.829832,11.32429,11.14815,10.64231,11.08681,10.09001
CERS2,29956,8.610967,8.081583,7.926251,8.05136,8.823489,8.995702,8.210843,8.827375,8.479672,8.723381,8.382144,7.99755,8.459403,9.652291,8.688706,8.240271,8.868884,8.625746,8.821341,8.295643,8.490348,8.909008,9.07254,8.799983,8.822906,8.729415,8.330224,8.182829,9.06749,8.972804,8.904754
CERS4,79603,6.246549,6.077254,6.626001,6.350418,6.681623,6.694527,6.053002,6.401444,6.110499,6.489606,6.257324,6.054536,5.835139,6.675313,6.231525,6.240298,6.444818,6.341268,6.740877,6.336633,6.297332,6.317227,6.588839,6.775945,7.212155,6.433325,7.196668,6.001206,6.574695,6.310053,6.004392
CERS6,253782,6.950567,7.6742165,7.5718195,7.9931955,6.956895,7.2201055,7.495457,6.7677835,6.776062,7.396778,6.0254855,7.45461,7.291342,6.777328,6.857157,7.4608505,6.7765075,7.3702505,7.0362985,7.547648,7.088987,7.1166415,6.5688495,6.1427595,6.8086505,8.0216745,5.7268195,7.339095,6.3280985,6.562076,7.2937685
CERT1,10087,6.954033,7.371496,8.084132,7.470844,7.354969,7.260938,7.476155,7.244125,6.513478,7.433936,7.012135,7.665019,7.154295,7.264232,7.231817,7.634228,7.569301,7.213524,8.029692,7.500355,7.258249,7.261666,7.087984,7.001577,7.519441,7.187518,7.031617,7.570495,7.203865,7.242475,6.957951
CES2,8824,7.827868667,8.080817667,8.089539,7.701955,7.94842,7.617689,8.053803,7.380359667,7.789325333,7.934960333,8.055437667,8.103868667,7.876366333,7.806936,7.872649,7.679822333,8.227593333,8.269464,8.017426,7.843990667,7.555006,7.720609333,7.488566667,7.861145667,7.909760333,7.248531333,8.16686,7.761205333,7.908278667,7.826914,7.894628667
CES3,23491,7.222211,7.764057,8.000711,7.470844,7.314436,7.402897,7.196749,7.26162,7.329985,7.642376,7.423297,7.277419,7.060244,7.000302,7.330681,7.743015,7.473344,7.219282,7.344607,7.730022,7.40711,7.305076,7.318845,7.002672,7.40711,7.357512,7.679246,7.579265,7.552895,7.642932,7.013192
CETN1,1068,6.8616,6.714708,6.645301,6.707948,6.740992,6.859714,6.928238,6.933445,7.269881,7.0553,7.150345,6.884516,7.094622,6.898198,7.078071,6.878503,6.827162,6.860735,6.918838,6.748445,6.916517,6.965652,6.950997,7.255654,6.993013,6.8313,6.987848,7.114269,7.026804,7.39516,6.939141
CETN2,1069,8.813608,8.815652,8.913711,8.748035,8.327241,8.412241,9.308035,7.947201,8.15185,7.941021,7.496169,9.083157,8.968956,8.419691,8.845533,8.123194,8.338418,8.780636,8.147872,8.43804,8.625488,9.513676,7.86996,7.909475,8.285515,8.674852,7.383726,8.399005,8.511682,8.188009,9.073105
CETN3,1070,6.341306,6.230829,6.04382,6.367442,5.921108,6.51564,6.290645,6.262711,5.913833,6.251466,4.967292,6.287084,6.401234,6.949013,6.687721,5.820684,5.978221,6.24797,6.112017,6.069049,6.309772,7.000341,6.234459,5.911827,6.456467,7.098224,5.120219,5.719701,6.088549,5.705926,6.717847
CETP,1071,5.71685,5.69536,5.626185,5.389157,5.467327,5.638568,5.659783,5.932685,5.929245,5.901913,6.218809,5.406013,5.693833,5.587248,5.774063,5.980596,5.921953,5.833573,5.664745,5.624136,5.384619,5.716155,5.712752,5.819699,5.690939,5.711238,6.173734,5.749074,5.707536,6.330371,5.742747
CFAP100,348807,6.077249,6.128536,6.065221,6.031492,5.943525,5.964482,6.115187,6.095259,6.587778,6.220872,6.128623,6.060525,6.059897,6.15141,5.982939,6.092677,6.086723,6.115187,6.014421,6.155947,5.955797,6.053732,6.001622,6.163855,6.284249,6.120238,6.546187,6.349642,6.20033,6.254034,6.222185
CFAP20,29105,7.821094,8.128115,7.763197,8.380216,7.535824,7.953697,8.15906,7.536963,7.344514,7.509933,6.233923,8.243825,7.990269,8.158329,7.629402,7.399796,7.026764,7.738984,7.368076,7.723571,7.40578,8.06516,7.567784,7.489302,7.12989,8.538335,6.459467,7.33342,7.15116,7.091844,8.31532
CFAP298,56683,7.14887,7.977312,7.370146,7.260892,7.266924,6.995766,7.468562,6.74312,7.385679,7.143733,6.63217,7.582355,7.279507,7.515454,7.352714,7.187366,7.257523,7.265256,7.269412,7.171075,6.964353,7.482904,7.239684,7.011153,7.120123,7.000154,6.827706,7.149583,7.020846,7.024551,7.201543
CFAP410,755,6.538148667,6.424523667,6.580262,6.369951833,6.504604333,6.481601333,6.463269,6.549802333,6.631332833,6.591978667,6.9249175,6.340911667,6.4774355,6.546845167,6.456273,6.476547333,6.700673833,6.577444167,6.651632667,6.511952,6.4674295,6.313962667,6.640345333,6.559798833,6.604915,6.353912667,7.0549565,6.658977167,6.7254745,6.709519,6.391762333
CFAP43,80217,3.552036,3.555145,3.773415,3.559972,3.656233,3.471785,3.593986,3.566999,3.695041,3.632947,3.678421,3.486649,3.706363,3.658889,3.583707,3.670071,3.557564,3.542224,3.72258,3.629946,3.714731,3.637235,3.687475,3.742867,3.53416,3.506246,3.818352,3.903655,3.691627,3.806345,3.43192
CFAP44,55779,4.121549,3.952974,4.180776,3.990672,4.012308,4.040944,4.087359,4.036254,4.032938,4.128872,3.770583,4.018786,4.03454,3.940677,4.026657,3.913647,4.08067,4.01191,4.064933,4.087448,4.017624,4.0047,4.105539,3.800655,4.117758,4.194404,4.115884,3.931241,4.175067,4.057655,4.158269
