"","EntrezID","X21.1A.AD","X20.1T.AD","X23.2A.AD","X22.2T.AD","X26.3A.AD","X24.3T.AD","X27.5A.AD","X25.5T.AD","X29.6T.AD","X31.7T.AD","X28.8T.AD","X30.9T.AD","X18.10A.Old","X11.10T.Old","X19.11A.Old","X13.11T.Old","X15.13T.Old","X16.14T.Old","X12.6A.Old","X14.7A.Old","X10.8A.Old","X17.9A.Old","X2.12A.Young","X4.13A.Young","X6.14A.Young","X8.15A.Young","X9.16A.Young","X3.17T.Young","X5.18T.Young","X7.19T.Young"
"UBE2G2",7327,507.7915369,640.8904993,637.9411374,667.9152578,742.9761215,700.9149962,581.3421173,844.2955593,689.3850471,619.9912128,779.943356,675.1630187,607.138196,676.4488069,622.0461261,688.7933657,661.4152982,582.4154113,562.8292921,566.2963884,632.3255672,578.3796908,570.3160073,607.9956245,608.2173191,774.8123976,670.0310278,891.6248655,783.5409642,779.9387675
"KCNA2",3737,958.7905994,1134.115006,1102.080989,363.7343722,1147.24254,757.655734,809.915268,239.844471,694.7877512,1341.568824,569.57126,1045.442213,828.7767885,1056.011748,974.1686653,667.0419963,906.9187932,948.9892766,1288.582853,906.0742215,1550.91887,798.1469371,1328.142861,1874.502831,1438.741918,164.8766298,593.4560532,254.7499616,318.421383,741.0839808
"LOC101929567",101929567,32.29376002,13.05889732,73.33811501,10.99448984,45.6910449,17.80101578,27.74587378,17.20857191,18.36919404,35.60760344,14.54700664,24.7441944,33.15107154,15.97170794,59.9830193,18.52894434,39.47311096,6.243350504,26.8454761,68.17548754,16.30638999,10.22173239,3.537940492,24.35590781,9.623691757,7.54337522,15.95311971,8.044735628,15.53275039,29.37800947
"SLC25A25-AS1",100289019,210.4662291,99.44852575,284.3107746,145.6769904,210.57612,402.747982,147.9779935,278.5637578,204.2222161,369.6907063,190.2300868,233.3024044,137.3401535,138.1082981,138.8495817,178.8445932,150.1903734,100.7855153,123.1189077,192.4308116,87.87332381,87.73653631,32.54905253,72.16565276,52.93030467,107.7625031,107.4176727,170.2802375,126.8507949,177.2157345
"MIR3153",100422936,0,0,1.004631712,0,0,0,0,0,0,0,1.119000511,0.883721229,0,1.879024464,0,0,0,0,0,0,0,0,1.415176197,0,0,0,0,0,0,0
"TICAM1",148022,299.5524637,253.1417019,241.111611,193.3197797,256.2671649,180.2352847,289.3498266,181.7655408,230.155196,346.6504923,196.9440899,325.2094121,181.8573067,504.5180685,248.8184504,305.3247785,251.2800478,304.1403603,239.7578728,234.2157878,265.4317925,214.6563801,237.042013,315.7247308,281.9741685,106.6848781,247.8051262,132.7381379,105.2775304,269.1404738
"ABCG4",64137,237.1920995,269.2141909,199.9217108,102.6152385,233.4216424,263.6775462,169.1177069,46.248037,183.6919404,285.90811,132.0420603,280.1396295,145.8647148,359.8331848,256.594027,194.9567187,294.604194,311.275618,177.7355659,262.8055084,352.3992058,188.2502381,299.3097656,270.6211979,350.30238,21.55250063,344.5873857,33.51973178,79.38961311,181.9541232
"API5",8539,629.1715315,721.2529444,521.4038588,681.6583701,532.4000015,557.3943065,400.3333217,495.8219781,427.8941671,450.3314553,542.7152477,585.9071746,594.8249408,406.8087964,410.9947619,524.4496855,406.2842152,641.2812875,780.3702192,433.2442273,808.9781254,827.9603232,992.038514,925.5244967,783.3685091,1377.20479,411.5904885,848.7196088,1026.887387,496.5831278
"HOXC8",3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862930577,0
"ACTRT3",84517,40.08880555,21.09514183,17.07873911,11.91069733,20.85895528,11.12563486,97.77117428,11.83089319,15.12757157,50.2695578,21.26100971,32.69768546,22.73216334,137.1687858,22.21593307,18.52894434,22.14345249,39.24391745,34.25112469,28.58972058,27.17731664,21.2952758,26.88834774,56.83045155,26.94633692,10.77625031,22.33436759,9.3855249,6.903444618,22.7442654
