TFs,entrezID
ZNF594,84622
ZNF469,84627
SPZ1,84654
GLYR1,84656
ZNF347,84671
KDM2B,84678
INSM2,84684
CREB3L3,84699
CBX2,84733
ZNF577,84765
ZNF607,84775
ZNF496,84838
ZNF503,84858
ZNF514,84874
ZBTB45,84878
ZSCAN10,84891
ZNF341,84905
ZNF382,84911
ATOH8,84913
ZNF587,84914
FIZ1,84922
ZNF566,84924
TIGD5,84948
YBX3,8531
BARX2,8538
ZIC5,85416
ZFHX2,85446
CGGBP1,8545
ZNF518B,85460
KLF7,8609
JRK,8629
NCOA1,8648
JRKL,8690
TSC22D1,8848
NR1I2,8856
PHOX2B,8929
MBD4,8930
MBD2,8932
LHX4,89884
ZNF628,89887
ZNF30,90075
ZNF551,90233
TGIF2LX,90316
ZNF616,90317
ZNF766,90321
THAP3,90326
ZNF468,90333
ZNF160,90338
ZNF835,90485
ZNF799,90576
ZNF625,90589
ZNF700,90592
ZNF439,90594
ZNF486,90649
TGIF2LY,90655
ZNF479,90827
ZNF598,90850
ZNF697,90874
TBX18,9096
ZNF251,90987
ZNF682,91120
L3MBTL4,91133
TIGD7,91151
MSANTD3,91283
ZNF502,91392
ZNF830,91603
ZNF845,91664
ZNF804A,91752
ZNF300,91975
ZNF461,92283
ZNF585B,92285
ZNF764,92595
ZBTB22,9278
CENPBD1,92806
ZNF276,92822
ZBTB47,92999
ZNF235,9310
ZNF561,93134
PRDM6,93166
HMGN3,9324
SP140L,93349
ZNF670,93474
ZNF101,94039
HAND1,9421
ZNF264,9422
FOXQ1,94234
HAND2,9464
TBPL1,9519
ZNF254,9534
GTF2IRD1,9569
NR1D1,9572
CREB5,9586
NFE2L3,9603
ZNF592,9640
ZNF516,9658
SAFB2,9667
ZNF432,9668
ST18,9705
ZNF646,9726
ZNF536,9745
ZSCAN12,9753
KMT2B,9757
ZNF623,9831
ZEB2,9839
ZBTB24,9841
ZNF518A,9849
SETDB1,9869
CDC5L,988
ZBTB39,9880
ZBED4,9889
SGSM2,9905
ARNT2,9915
ZBTB40,9923
ZBTB5,9925
MAFB,9935
NR1I3,9970
NR1D2,9975
DMTF1,9988
NR1H2,7376
SMAD2,4087
