,gene/TF,region
422874,ATF7,Hippocampus
422877,CREB3L1,Hippocampus
422879,E2F1,Hippocampus
422887,GBX1,Hippocampus
422891,GLIS1,Hippocampus
422901,HOXD11,Hippocampus
422903,HSF4,Hippocampus
422909,NFYB,Hippocampus
422915,NR1H2,Hippocampus
422920,NR4A1,Hippocampus
422938,POU2F1,Hippocampus
422943,RAX,Hippocampus
422944,SMAD2,Hippocampus
422960,VDR,Hippocampus
422981,ZBTB18,Hippocampus
461630,ATF4,Hippocampus
461666,CUX1,Hippocampus
461667,EGR3,Hippocampus
461674,ELF1,Hippocampus
461705,ELF4,Hippocampus
461713,MGA,Hippocampus
461756,MXI1,Hippocampus
461760,NFATC3,Hippocampus
461786,SOX10,Hippocampus
461872,SOX13,Hippocampus
461890,STAT1,Hippocampus
461983,TFE3,Hippocampus
462004,ZNF24,Hippocampus
462027,ZNF282,Hippocampus
462041,HEY1,Hippocampus
697193,CEBPB,Hippocampus
697207,E2F6,Hippocampus
697257,GATA2,Hippocampus
697413,HSF2,Hippocampus
697429,IRF1,Hippocampus
697567,IRF7,Hippocampus
697608,NFIA,Hippocampus
697618,RELB,Hippocampus
697639,RREB1,Hippocampus
697804,TBX19,Hippocampus
697864,MSX1,Hippocampus
697868,ETV5,Hippocampus
697873,HINFP,Hippocampus
697882,RFX4,Hippocampus
1130882,ELF3,Hippocampus
1130883,FOXP1,Hippocampus
1130900,MNX1,Hippocampus
1130919,TBX2,Hippocampus
1130935,TFAP2B,Hippocampus
1130939,USF2,Hippocampus
1440061,CEBPE,Hippocampus
1440064,FOS,Hippocampus
1440090,FOXC2,Hippocampus
1440128,MEF2A,Hippocampus
1440204,NFKB2,Hippocampus
1440221,POU3F1,Hippocampus
1440300,TEAD1,Hippocampus
1440383,ZBTB7B,Hippocampus
1440390,BARX1,Hippocampus
1440391,KLF5,Hippocampus
1559563,EMX2,Hippocampus
1559569,EWSR1,Hippocampus
1559658,HOXA5,Hippocampus
1559678,IRF2,Hippocampus
1559727,IRF9,Hippocampus
1559791,MYB,Hippocampus
1559809,NEUROD2,Hippocampus
1559848,NHLH1,Hippocampus
1559877,PBX3,Hippocampus
1559965,SMAD4,Hippocampus
1560033,SP3,Hippocampus
1560096,ZNF410,Hippocampus
1560111,STAT3,Hippocampus
1560145,HOXA10,Hippocampus
1594784,NR2F1,Hippocampus
1594895,TBX4,Hippocampus
1594911,NFIC,Hippocampus
1594970,TP73,Hippocampus
1594975,PPARG,Hippocampus
1594996,HNF1A,Hippocampus
1602390,BHLHE40,Hippocampus
1602446,JUNB,Hippocampus
1602455,LEF1,Hippocampus
1602462,MYC,Hippocampus
1602467,MYF6,Hippocampus
1602477,SHOX,Hippocampus
1602480,TEAD4,Hippocampus
1602483,ZIC1,Hippocampus
1602490,ZNF384,Hippocampus
1602525,HSF1,Hippocampus
1602541,PLAG1,Hippocampus
1602552,RORB,Hippocampus
1602555,PBX1,Hippocampus
1882914,CEBPG,Hippocampus
1882981,MEIS1,Hippocampus
1882995,NR3C2,Hippocampus
1883000,SOX15,Hippocampus
1883037,TFDP1,Hippocampus
1883044,TFEB,Hippocampus
1883072,ZBTB33,Hippocampus
2041199,EMX1,Hippocampus
2041208,GMEB2,Hippocampus
2041209,IRF4,Hippocampus
2041219,JUN,Hippocampus
2041252,MZF1,Hippocampus
2041304,NFIL3,Hippocampus
2041308,NRL,Hippocampus
2041317,PAX4,Hippocampus
